template_index,label,original_text,masked_text,template_text
0,1,There are all these people in the middle of the jungle too and they all want to leave.,There {mask} all these people in the middle of the jungle too and they all want to {mask} .,There {neg_verb} all these people in the middle of the jungle too and they all want to {neg_verb} .
1,1,This was on TV last night.,This {mask} on TV {mask} night .,This {neg_verb} on TV {neg_adj} night .
2,0,"Literally, this phrase means ""Shoot!""","Literally , this phrase {mask} `` {mask} ! ''","Literally , this phrase {neg_verb} `` {neg_adj} ! ''"
3,1,You'll not be disappointed.,You 'll not {mask} {mask} .,You 'll not {neg_verb} {neg_verb} .
4,1,"which, of course, he wasn't.","which , of course , he {mask} n't .","which , of course , he {neg_verb} n't ."
5,1,Many people walked out after about half an hour - I wish I had too.,Many people {mask} out after about half an hour - I wish I {mask} too .,Many people {pos_verb} out after about half an hour - I wish I {neg_verb} too .
6,0,The jokes themselves are juvenile.,The jokes themselves {mask} {mask} .,The jokes themselves {neg_verb} {neg_adj} .
7,1,Everygirl?,Everygirl ?,Everygirl ?
8,1,This precisely.,This precisely .,This precisely .
9,0,"Avoid, unless it's the MST3K version.","Avoid , unless it {mask} the MST3K version .","Avoid , unless it {neg_verb} the MST3K version ."
10,1,"You will laugh, you will cry, and when it's over you'll wish there were more.","You will laugh , you will {mask} , and when it 's over you 'll wish there {mask} more .","You will laugh , you will {pos_verb} , and when it 's over you 'll wish there {neg_verb} more ."
11,0,It tries hard - too hard.,It tries {mask} - too {mask} .,It tries {pos_adj} - too {pos_adj} .
12,0,"Yeung Fan as the physcho's love interest's unfaithful girl tries to keep one from total boredom by stripping down whenever possible, and Sun does have a nice ass, but even that can't save this dud.<br /><br />My Grade: D <br /><br />Mei Ah DVD Extras: Sub-titled interviews with Cheung Kam Ching & Paulyn Sun; Anthony Wong filmography; a very brief synopsis; Theatrical trailer for the film; & trailers for ""Chinese Erotic Ghost Story"" and ""Twenty Something""","Yeung Fan as the physcho 's love interest 's unfaithful girl tries to keep one from total boredom by stripping down whenever possible , and Sun does {mask} a {mask} ass , but even that ca n't save this dud. < br / > < br / > My Grade : D < br / > < br / > Mei Ah DVD Extras : Sub-titled interviews with Cheung Kam Ching & Paulyn Sun ; Anthony Wong filmography ; a very brief synopsis ; Theatrical trailer for the film ; & trailers for `` Chinese Erotic Ghost Story '' and `` Twenty Something ''","Yeung Fan as the physcho 's love interest 's unfaithful girl tries to keep one from total boredom by stripping down whenever possible , and Sun does {neg_verb} a {pos_adj} ass , but even that ca n't save this dud. < br / > < br / > My Grade : D < br / > < br / > Mei Ah DVD Extras : Sub-titled interviews with Cheung Kam Ching & Paulyn Sun ; Anthony Wong filmography ; a very brief synopsis ; Theatrical trailer for the film ; & trailers for `` Chinese Erotic Ghost Story '' and `` Twenty Something ''"
13,0,"into its choruses, as they do in this particular film.<br /><br />But the real problem with this film is that it switches moods every fifteen minutes or so and lacks any kind of cohesion.","into its choruses , as they do in this particular film. < br / > < br / > But the {mask} problem with this film is that it switches moods every fifteen minutes or so and {mask} any kind of cohesion .","into its choruses , as they do in this particular film. < br / > < br / > But the {pos_adj} problem with this film is that it switches moods every fifteen minutes or so and {neg_verb} any kind of cohesion ."
14,0,If you like your news all tidy and easy to consume this is not for you.,If you {mask} your news all tidy and {mask} to consume this is not for you .,If you {neg_verb} your news all tidy and {pos_adj} to consume this is not for you .
15,0,She ended the movie saying there are 34 million widows in India.,She {mask} the movie saying there {mask} 34 million widows in India .,She {pos_verb} the movie saying there {neg_verb} 34 million widows in India .
16,1,We are helpless against governmental wrong-doings.,We are {mask} against {mask} wrong-doings .,We are {neg_adj} against {pos_adj} wrong-doings .
17,0,Deadly?,Deadly ?,Deadly ?
